"","Nombre","Equipo","Age","Pos","MP","G","FG2p","FG3p","FTp","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","PER","tamanyo","PROB_PRED","TAM_PRED"
"1","Aaron Gordon","Denver Nuggets",25,"PF",650,25,0.61,0.27,0.7,38,80,56,17,14,30,40,254,16.39,"Big",0.3501,"Big"
"2","Aaron Gordon","Orlando Magic",25,"PF",737,25,0.48,0.38,0.63,39,127,105,16,20,67,49,364,17.97,"Big",0.3923,"Big"
"3","Aaron Holiday","Indiana Pacers",24,"PG",1176,66,0.41,0.37,0.82,15,74,123,46,13,66,94,475,12.15,"Small",0.9822,"Small"
"4","Aaron Nesmith","Boston Celtics",21,"SF",665,46,0.54,0.37,0.79,28,99,23,15,9,23,87,218,11.34,"Small",0.4779,"Big"
"5","Abdel Nader","Phoenix Suns",27,"SF",353,24,0.53,0.42,0.76,7,55,19,10,9,19,34,160,16.07,"Small",0.6848,"Small"
"7","Al Horford","Oklahoma City Thunder",34,"C",782,28,0.51,0.37,0.82,29,159,94,25,26,29,48,398,21.14,"Big",0.3194,"Big"
"10","Alec Burks","New York Knicks",29,"SG",1252,49,0.43,0.41,0.86,21,206,107,31,14,49,102,623,17.36,"Small",0.629,"Small"
"11","Aleksej Pokusevski","Oklahoma City Thunder",19,"PF",1087,45,0.4,0.28,0.74,30,182,97,20,42,99,58,367,8.5,"Big",0.193,"Big"
"13","Alex Caruso","Los Angeles Lakers",26,"PG",1219,58,0.46,0.4,0.64,31,139,160,64,15,76,108,370,13.27,"Small",0.983,"Small"
"15","Alex Len","Washington Wizards",27,"C",903,57,0.65,0.26,0.64,78,171,46,19,58,47,117,407,20.95,"Big",0.008,"Big"
"16","Alfonzo McKinnie","Los Angeles Lakers",28,"SF",258,39,0.59,0.41,0.56,22,32,6,7,0,5,26,122,18.21,"Small",0.5693,"Small"
"19","Amir Coffey","Los Angeles Clippers",23,"SG",393,44,0.47,0.41,0.71,10,34,22,10,0,15,30,140,11.95,"Small",0.7921,"Small"
"21","Andre Drummond","Cleveland Cavaliers",27,"C",721,25,0.48,0,0.6,101,236,64,40,29,81,69,437,24.38,"Big",0.0264,"Big"
"22","Andre Drummond","Los Angeles Lakers",27,"C",520,21,0.53,0,0.61,65,149,30,23,20,43,80,250,20.96,"Big",0.0404,"Big"
"23","Andre Iguodala","Miami Heat",37,"SF",1337,63,0.53,0.33,0.66,38,183,142,57,35,67,90,275,10.9,"Small",0.7559,"Small"
"25","Andrew Wiggins","Golden State Warriors",25,"PF",2365,71,0.53,0.38,0.71,82,265,167,67,70,126,159,1320,19.15,"Big",0.3444,"Big"
"26","Anfernee Simons","Portland Trail Blazers",21,"SG",1102,64,0.4,0.43,0.81,14,126,89,18,8,43,96,502,14.75,"Small",0.7401,"Small"
"27","Anthony Davis","Los Angeles Lakers",27,"PF",1161,36,0.54,0.26,0.74,62,224,110,45,59,74,60,785,26.28,"Big",0.0886,"Big"
"28","Anthony Edwards","Minnesota Timberwolves",19,"SG",2310,72,0.48,0.33,0.78,59,277,211,82,36,160,129,1392,18.15,"Small",0.9624,"Small"
"30","Anthony Lamb","Houston Rockets",25,"PF",414,24,0.49,0.32,0.86,27,43,23,6,5,19,34,133,10.88,"Big",0.525,"Small"
"33","Armoni Brooks","Houston Rockets",25,"PF",520,20,0.51,0.38,0.58,10,58,30,12,5,22,34,223,13.32,"Big",0.6594,"Small"
"34","Aron Baynes","Toronto Raptors",34,"C",979,53,0.53,0.26,0.71,87,186,47,17,23,46,119,324,12.7,"Big",0.0301,"Big"
"37","Austin Rivers","New York Knicks",28,"SG",440,21,0.52,0.36,0.71,5,42,42,12,0,22,32,154,11.33,"Small",0.7984,"Small"
"41","Bam Adebayo","Miami Heat",23,"C",2141,64,0.57,0.25,0.8,142,431,346,75,66,169,145,1197,26.42,"Big",0.0409,"Big"
"42","Ben McLemore","Houston Rockets",27,"SG",536,32,0.43,0.33,0.72,11,55,28,20,3,28,51,238,11.18,"Small",0.8325,"Small"
"43","Ben McLemore","Los Angeles Lakers",27,"SG",367,21,0.48,0.37,0.76,4,30,11,3,6,14,37,168,11.35,"Small",0.629,"Small"
"44","Ben Simmons","Philadelphia 76ers",24,"PG",1878,58,0.56,0.3,0.61,93,324,401,93,35,173,171,829,21.52,"Small",0.9367,"Small"
"45","Bismack Biyombo","Charlotte Hornets",28,"C",1349,66,0.59,0,0.45,137,210,81,17,74,71,141,331,13.46,"Big",2e-04,"Big"
"46","Blake Griffin","Brooklyn Nets",31,"PF",561,26,0.57,0.38,0.78,28,93,63,18,13,30,69,260,19.49,"Big",0.5563,"Small"
"47","Blake Griffin","Detroit Pistons",31,"PF",625,20,0.43,0.31,0.71,7,97,77,14,2,32,42,245,12.65,"Big",0.6628,"Small"
"48","Boban Marjanović","Dallas Mavericks",32,"C",271,33,0.54,0.12,0.82,47,81,10,2,6,12,29,156,25.52,"Big",0.0774,"Big"
"49","Bobby Portis","Milwaukee Bucks",25,"C",1370,66,0.54,0.47,0.74,124,342,71,52,26,56,115,754,24,"Big",0.0573,"Big"
"50","Bogdan Bogdanović","Atlanta Hawks",28,"SG",1306,44,0.52,0.44,0.91,20,140,147,49,13,54,99,720,20.74,"Small",0.9643,"Small"
"51","Bojan Bogdanović","Utah Jazz",31,"SF",2219,72,0.49,0.39,0.88,40,241,136,45,4,128,115,1225,16.97,"Small",0.9278,"Small"
"53","Brad Wanamaker","Charlotte Hornets",31,"PG",429,22,0.5,0.12,0.89,10,29,75,17,5,34,39,151,13.46,"Small",0.7464,"Small"
"54","Brad Wanamaker","Golden State Warriors",31,"PG",625,39,0.43,0.21,0.89,8,58,99,26,6,37,55,185,11.27,"Small",0.8745,"Small"
"55","Bradley Beal","Washington Wizards",27,"SG",2143,60,0.54,0.35,0.89,72,211,265,69,22,187,140,1878,28.78,"Small",0.9869,"Small"
"56","Brandon Clarke","Memphis Grizzlies",24,"PF",1413,59,0.56,0.26,0.69,97,231,95,60,51,33,84,610,20.61,"Big",0.0732,"Big"
"57","Brandon Goodwin","Atlanta Hawks",25,"PG",619,47,0.43,0.31,0.65,8,61,95,17,0,36,41,228,11.65,"Small",0.823,"Small"
"58","Brandon Ingram","New Orleans Pelicans",23,"SF",2088,61,0.51,0.38,0.88,34,265,296,42,36,154,124,1450,23.73,"Small",0.7583,"Small"
"60","Brodric Thomas","Cleveland Cavaliers",24,"SG",376,28,0.46,0.28,0.67,7,42,26,14,9,18,35,115,9.93,"Small",0.6434,"Small"
"62","Brook Lopez","Milwaukee Bucks",32,"C",1903,70,0.63,0.34,0.85,104,243,50,40,103,64,149,859,18.32,"Big",0.0024,"Big"
"63","Bruce Brown","Brooklyn Nets",24,"PG",1453,65,0.6,0.29,0.74,111,238,104,58,28,54,145,573,18.85,"Small",0.1933,"Big"
"65","Bruno Fernando","Atlanta Hawks",22,"C",228,33,0.43,0,0.68,16,62,10,4,3,21,23,51,7.81,"Big",0.166,"Big"
"66","Bryn Forbes","Milwaukee Bucks",27,"SG",1358,70,0.51,0.45,0.77,11,101,45,24,1,44,77,701,15.87,"Small",0.8994,"Small"
"67","Buddy Hield","Sacramento Kings",28,"SG",2439,71,0.45,0.39,0.85,29,305,257,63,30,130,175,1176,16,"Small",0.9025,"Small"
"69","CJ McCollum","Portland Trail Blazers",29,"SG",1602,47,0.51,0.4,0.81,30,155,223,44,21,65,87,1087,24.16,"Small",0.883,"Small"
"70","Caleb Martin","Charlotte Hornets",25,"SF",820,53,0.5,0.25,0.64,31,110,67,37,12,33,62,264,11.97,"Small",0.6946,"Small"
"71","Cam Reddish","Atlanta Hawks",21,"SF",749,26,0.46,0.26,0.82,22,82,35,33,9,34,68,292,11.56,"Small",0.8336,"Small"
"72","Cameron Johnson","Phoenix Suns",24,"PF",1437,60,0.58,0.35,0.85,33,166,86,37,16,40,85,573,14.2,"Big",0.6409,"Small"
"74","Cameron Payne","Phoenix Suns",26,"PG",1077,60,0.52,0.44,0.89,16,128,217,36,16,60,97,505,20.53,"Small",0.9275,"Small"
"78","Caris LeVert","Indiana Pacers",26,"SG",1154,35,0.5,0.32,0.82,23,139,173,53,24,76,85,726,22.06,"Small",0.9427,"Small"
"79","Carmelo Anthony","Portland Trail Blazers",36,"PF",1690,69,0.43,0.41,0.89,32,182,104,46,38,61,144,924,17.26,"Big",0.7116,"Small"
"80","Carsen Edwards","Boston Celtics",22,"SG",274,31,0.6,0.29,0.85,3,23,14,7,1,7,25,123,12.73,"Small",0.6784,"Small"
"83","Cedi Osman","Cleveland Cavaliers",25,"SF",1511,59,0.46,0.31,0.8,38,163,174,53,9,80,119,613,12.91,"Small",0.9465,"Small"
"87","Chasson Randle","Orlando Magic",27,"G",839,41,0.45,0.34,0.79,7,75,74,22,5,46,64,266,9.33,"Small",0.8795,"Small"
"88","Chimezie Metu","Sacramento Kings",23,"C",490,36,0.55,0.35,0.72,31,81,28,14,18,29,59,226,17.38,"Big",0.3757,"Big"
"89","Chris Boucher","Toronto Raptors",28,"C",1454,60,0.61,0.38,0.79,117,287,63,35,111,46,166,818,25.4,"Big",3e-04,"Big"
"90","Chris Chiozza","Brooklyn Nets",25,"PG",233,22,0.39,0.31,0.76,3,21,65,7,6,16,19,88,16.03,"Small",0.7201,"Small"
"91","Chris Paul","Phoenix Suns",35,"PG",2200,70,0.54,0.4,0.93,25,287,622,99,19,156,166,1149,25.01,"Small",0.9992,"Small"
"94","Christian Wood","Houston Rockets",25,"C",1326,41,0.58,0.37,0.63,76,319,71,34,48,80,88,860,24.49,"Big",0.0168,"Big"
"95","Chuma Okeke","Orlando Magic",22,"PF",1133,45,0.47,0.35,0.75,42,139,101,48,22,38,48,349,13.86,"Big",0.7869,"Small"
"96","Clint Capela","Atlanta Hawks",26,"C",1901,63,0.59,0,0.57,297,606,49,44,129,73,145,956,27.26,"Big",0,"Big"
"97","Coby White","Chicago Bulls",20,"PG",2157,69,0.47,0.36,0.9,28,256,328,38,15,156,179,1041,15.35,"Small",0.9005,"Small"
"98","Cody Martin","Charlotte Hornets",25,"SF",849,52,0.52,0.28,0.58,52,109,86,37,12,40,52,207,12.59,"Small",0.626,"Small"
"99","Cody Zeller","Charlotte Hornets",28,"C",1004,48,0.6,0.14,0.71,119,209,86,27,17,51,121,451,21.38,"Big",0.019,"Big"
"100","Cole Anthony","Orlando Magic",20,"PG",1270,47,0.42,0.34,0.83,38,183,192,30,18,106,98,605,15.11,"Small",0.732,"Small"
"101","Collin Sexton","Cleveland Cavaliers",22,"SG",2113,60,0.51,0.37,0.81,58,129,262,62,10,167,157,1460,21.73,"Small",0.9961,"Small"
"102","Cory Joseph","Detroit Pistons",29,"PG",502,19,0.54,0.37,0.88,10,50,105,22,9,35,41,228,20.44,"Small",0.8912,"Small"
"103","Cory Joseph","Sacramento Kings",29,"PG",942,44,0.51,0.33,0.77,25,74,108,39,9,44,98,289,12.07,"Small",0.9318,"Small"
"105","D'Angelo Russell","Minnesota Timberwolves",24,"PG",1197,42,0.47,0.39,0.77,16,95,244,45,18,112,68,796,22.44,"Small",0.9868,"Small"
"106","D.J. Augustin","Houston Rockets",33,"PG",417,20,0.48,0.39,0.91,9,35,78,8,0,31,23,211,19.14,"Small",0.8528,"Small"
"107","D.J. Augustin","Milwaukee Bucks",33,"PG",712,37,0.35,0.38,0.9,11,39,110,20,1,34,33,227,12.69,"Small",0.9397,"Small"
"108","D.J. Wilson","Houston Rockets",24,"PF",332,23,0.48,0.34,0.7,17,70,20,10,12,18,31,140,15.5,"Big",0.438,"Big"
"116","Damian Lillard","Portland Trail Blazers",30,"PG",2397,67,0.52,0.39,0.93,32,251,505,62,17,203,102,1928,29.77,"Small",0.9948,"Small"
"117","Damion Lee","Golden State Warriors",28,"SG",1081,57,0.64,0.4,0.91,22,158,73,38,8,30,89,373,14.79,"Small",0.8156,"Small"
"118","Damyean Dotson","Cleveland Cavaliers",26,"SG",910,46,0.54,0.29,0.67,5,88,91,16,4,42,42,308,10.27,"Small",0.7017,"Small"
"119","Daniel Gafford","Chicago Bulls",22,"PF",389,31,0.69,0,0.66,44,59,17,11,34,22,54,147,20.76,"Big",0.0295,"Big"
"120","Daniel Gafford","Washington Wizards",22,"PF",409,23,0.68,0,0.67,50,78,12,15,41,19,44,233,29.77,"Big",0.0184,"Big"
"122","Daniel Theis","Boston Celtics",28,"C",1024,42,0.65,0.35,0.69,54,166,67,25,43,41,120,397,17.27,"Big",0.0724,"Big"
"123","Daniel Theis","Chicago Bulls",28,"C",574,23,0.64,0.28,0.65,39,97,41,16,14,25,47,230,17.65,"Big",0.2404,"Big"
"124","Danilo Gallinari","Atlanta Hawks",32,"PF",1218,51,0.47,0.41,0.93,17,194,76,30,10,43,105,676,19.55,"Big",0.696,"Small"
"125","Danny Green","Philadelphia 76ers",33,"SF",1934,69,0.44,0.41,0.78,55,205,118,92,56,67,125,654,14.32,"Small",0.9417,"Small"
"127","Danuel House Jr.","Houston Rockets",25,"PF",933,36,0.48,0.35,0.65,18,114,69,20,16,36,67,315,11.54,"Big",0.5125,"Small"
"128","Dario Šarić","Phoenix Suns",26,"PF",868,50,0.51,0.35,0.85,46,144,65,30,4,57,95,437,17.34,"Big",0.7286,"Small"
"129","Darius Bazley","Oklahoma City Thunder",20,"PF",1716,55,0.47,0.29,0.7,51,345,99,29,25,122,60,754,12.61,"Big",0.0795,"Big"
"130","Darius Garland","Cleveland Cavaliers",21,"PG",1788,54,0.48,0.39,0.85,23,106,329,66,6,164,110,941,17.38,"Small",0.9994,"Small"
"132","David Nwaba","Houston Rockets",28,"SF",677,30,0.57,0.27,0.69,40,78,31,30,21,17,60,276,17.22,"Small",0.4545,"Big"
"133","De'Aaron Fox","Sacramento Kings",23,"PG",2037,58,0.54,0.32,0.72,33,170,417,87,27,174,170,1461,25.24,"Small",0.9987,"Small"
"134","De'Andre Hunter","Atlanta Hawks",23,"SF",678,23,0.58,0.33,0.86,17,93,44,19,12,29,59,344,18.52,"Small",0.6125,"Small"
"135","De'Anthony Melton","Memphis Grizzlies",22,"PG",1043,52,0.47,0.41,0.8,30,131,132,60,31,66,85,472,18.65,"Small",0.9584,"Small"
"136","DeAndre Jordan","Brooklyn Nets",32,"C",1244,57,0.77,0,0.5,117,310,93,17,65,85,116,426,19.7,"Big",1e-04,"Big"
"137","DeAndre' Bembry","Toronto Raptors",26,"SF",976,51,0.59,0.26,0.68,33,113,107,53,18,71,87,293,13.34,"Small",0.9232,"Small"
"138","DeMar DeRozan","San Antonio Spurs",31,"PF",2056,61,0.52,0.26,0.88,40,219,422,56,15,119,128,1316,25.94,"Big",0.9442,"Small"
"139","DeMarcus Cousins","Houston Rockets",30,"C",507,25,0.43,0.34,0.75,30,161,60,21,18,39,74,241,18.78,"Big",0.3203,"Big"
"141","Dean Wade","Cleveland Cavaliers",24,"PF",1214,63,0.57,0.37,0.77,38,177,74,35,21,30,78,376,13.38,"Big",0.4175,"Big"
"142","Deandre Ayton","Phoenix Suns",22,"C",2116,69,0.64,0.2,0.77,228,499,99,41,81,103,196,997,23,"Big",0,"Big"
"144","Dejounte Murray","San Antonio Spurs",24,"PG",2140,67,0.49,0.32,0.79,58,415,363,101,7,117,135,1051,19.96,"Small",0.9723,"Small"
"145","Delon Wright","Detroit Pistons",28,"SG",1052,36,0.51,0.35,0.79,37,127,181,58,19,48,45,374,19.19,"Small",0.9464,"Small"
"146","Delon Wright","Sacramento Kings",28,"SG",699,27,0.5,0.4,0.83,28,77,97,43,11,35,30,271,18.78,"Small",0.9506,"Small"
"147","Deni Avdija","Washington Wizards",20,"SF",1260,54,0.53,0.32,0.64,22,240,63,32,15,33,140,342,9.94,"Small",0.2368,"Big"
"148","Dennis Schröder","Los Angeles Lakers",27,"SG",1958,61,0.48,0.33,0.85,30,181,351,70,13,163,159,942,16.91,"Small",0.9972,"Small"
"149","Dennis Smith Jr.","Detroit Pistons",23,"G",393,20,0.46,0.35,0.7,12,41,74,20,14,25,33,145,16.76,"Small",0.7821,"Small"
"151","Denzel Valentine","Chicago Bulls",27,"SG",1038,62,0.43,0.33,0.94,24,173,105,30,7,42,70,406,13.01,"Small",0.6985,"Small"
"152","Derrick Favors","Utah Jazz",29,"C",1036,68,0.64,0,0.74,138,238,44,32,68,36,143,369,21.85,"Big",4e-04,"Big"
"153","Derrick Jones Jr.","Portland Trail Blazers",23,"SF",1318,58,0.62,0.32,0.65,77,128,47,37,54,32,127,396,13.32,"Small",0.078,"Big"
"155","Derrick Rose","New York Knicks",32,"G",937,35,0.51,0.41,0.88,14,87,146,31,15,49,39,521,21.39,"Small",0.9178,"Small"
"156","Derrick White","San Antonio Spurs",26,"SG",1063,36,0.49,0.35,0.85,13,94,127,26,36,45,91,553,18.05,"Small",0.6209,"Small"
"157","Desmond Bane","Memphis Grizzlies",22,"SG",1520,68,0.51,0.43,0.82,31,179,118,41,16,59,125,625,15.08,"Small",0.8238,"Small"
"158","Devin Booker","Phoenix Suns",24,"SG",2271,67,0.54,0.34,0.87,34,247,289,53,16,207,181,1712,23.39,"Small",0.9826,"Small"
"160","Devin Vassell","San Antonio Spurs",20,"SF",1058,62,0.46,0.35,0.84,24,150,56,43,18,22,88,341,12.73,"Small",0.7606,"Small"
"163","Devonte' Graham","Charlotte Hornets",25,"PG",1659,55,0.38,0.38,0.84,22,126,295,48,6,84,77,816,18.21,"Small",0.986,"Small"
"166","Dillon Brooks","Memphis Grizzlies",25,"SF",1997,67,0.46,0.34,0.82,53,143,157,78,26,119,237,1151,15.7,"Small",0.9922,"Small"
"167","Domantas Sabonis","Indiana Pacers",24,"PF",2231,62,0.58,0.32,0.73,150,592,415,76,33,213,203,1260,25.41,"Big",0.0515,"Big"
"168","Donovan Mitchell","Utah Jazz",24,"SG",1771,53,0.48,0.39,0.84,50,185,277,52,15,147,117,1401,25.7,"Small",0.9749,"Small"
"170","Donte DiVincenzo","Milwaukee Bucks",24,"SG",1814,66,0.47,0.38,0.72,81,299,203,72,15,91,112,688,16.01,"Small",0.8158,"Small"
"171","Dorian Finney-Smith","Dallas Mavericks",27,"PF",1921,60,0.62,0.39,0.76,98,228,102,52,25,48,138,590,13.65,"Big",0.2773,"Big"
"172","Doug McDermott","Indiana Pacers",29,"PF",1617,66,0.64,0.39,0.82,60,161,85,20,6,53,117,899,19.46,"Big",0.3649,"Big"
"173","Draymond Green","Golden State Warriors",30,"PF",1981,63,0.54,0.27,0.8,55,394,558,105,52,188,194,444,16.45,"Big",0.966,"Small"
"174","Drew Eubanks","San Antonio Spurs",23,"C",757,54,0.56,1,0.73,74,167,42,18,49,45,88,311,20.31,"Big",0.316,"Big"
"175","Duncan Robinson","Miami Heat",26,"SF",2261,72,0.62,0.41,0.83,7,243,127,43,20,81,181,942,13.61,"Small",0.7943,"Small"
"176","Dwayne Bacon","Orlando Magic",25,"SG",1854,72,0.45,0.29,0.82,31,193,93,45,5,46,103,788,12.38,"Small",0.7957,"Small"
"177","Dwight Howard","Philadelphia 76ers",35,"C",1190,69,0.61,0.25,0.58,190,390,61,30,62,112,200,482,20.51,"Big",1e-04,"Big"
"178","Dwight Powell","Dallas Mavericks",29,"C",965,58,0.66,0.24,0.78,80,154,63,36,30,40,135,342,18.54,"Big",0.135,"Big"
"179","Dylan Windler","Cleveland Cavaliers",24,"SF",515,31,0.58,0.34,0.78,20,87,33,19,12,32,37,161,12.79,"Small",0.6084,"Small"
"180","Dāvis Bertāns","Washington Wizards",28,"PF",1460,57,0.48,0.39,0.87,18,150,49,33,13,33,136,655,14.61,"Big",0.7575,"Small"
"181","E'Twaun Moore","Phoenix Suns",31,"SG",389,27,0.51,0.31,0.86,14,31,40,15,5,23,32,133,12.43,"Small",0.7932,"Small"
"182","Ed Davis","Minnesota Timberwolves",31,"C",298,23,0.43,0,0.83,46,69,21,13,13,7,56,48,15.09,"Big",0.0977,"Big"
"183","Edmond Sumner","Indiana Pacers",25,"SG",859,53,0.58,0.4,0.82,18,76,49,33,10,51,88,399,15.82,"Small",0.9298,"Small"
"184","Elfrid Payton","New York Knicks",26,"PG",1486,63,0.46,0.29,0.68,64,152,203,47,9,103,116,639,13.85,"Small",0.8936,"Small"
"187","Enes Freedom","Portland Trail Blazers",25,"PF",1760,72,0.61,0.25,0.77,284,511,84,33,48,78,168,806,24.89,"Big",0,"Big"
"188","Eric Bledsoe","New Orleans Pelicans",31,"SG",2108,71,0.5,0.34,0.69,29,215,268,55,24,114,112,869,14.49,"Small",0.9181,"Small"
"189","Eric Gordon","Houston Rockets",32,"SG",790,27,0.57,0.33,0.82,8,50,71,14,13,51,44,481,18.17,"Small",0.7779,"Small"
"190","Eric Paschall","Golden State Warriors",24,"PF",697,40,0.53,0.33,0.71,28,100,51,12,7,43,68,381,17.41,"Big",0.468,"Big"
"193","Evan Fournier","Orlando Magic",28,"SF",786,26,0.54,0.39,0.8,5,70,95,27,9,54,55,511,21.81,"Small",0.9331,"Small"
"194","Facundo Campazzo","Denver Nuggets",29,"PG",1424,65,0.44,0.35,0.88,22,112,232,79,14,73,132,396,13.54,"Small",0.9978,"Small"
"195","Frank Jackson","Detroit Pistons",22,"PG",739,40,0.51,0.41,0.81,15,71,36,15,1,34,53,390,16.24,"Small",0.8174,"Small"
"196","Frank Kaminsky","Phoenix Suns",27,"C",716,47,0.52,0.36,0.62,36,152,79,14,17,22,70,310,18.66,"Big",0.1462,"Big"
"198","Frank Ntilikina","New York Knicks",22,"PG",320,33,0.19,0.48,0.44,6,25,19,18,4,11,45,89,9.12,"Small",0.8953,"Small"
"199","Fred VanVleet","Toronto Raptors",26,"SG",1902,52,0.42,0.37,0.88,32,188,328,87,37,95,119,1019,20.52,"Small",0.9927,"Small"
"200","Freddie Gillespie","Toronto Raptors",25,"PF",394,20,0.52,0,0.7,42,55,9,13,20,12,43,111,15.11,"Big",0.0771,"Big"
"201","Furkan Korkmaz","Philadelphia 76ers",23,"SG",1061,55,0.45,0.38,0.73,17,96,82,49,9,46,64,501,15.63,"Small",0.9711,"Small"
"202","Gabe Vincent","Miami Heat",24,"PG",659,50,0.5,0.31,0.87,10,46,67,21,2,34,79,242,9.94,"Small",0.8924,"Small"
"204","Garrett Temple","Chicago Bulls",34,"SG",1528,56,0.5,0.34,0.8,29,131,124,43,30,58,126,423,10.17,"Small",0.7915,"Small"
"205","Garrison Mathews","Washington Wizards",24,"SG",1037,64,0.54,0.38,0.88,16,71,26,29,7,10,106,354,12.1,"Small",0.8564,"Small"
